n,bits,max_v2,fnv1a64,decimal_digits,elapsed_s
92000000,86596145,25,a0d09e80d02528d7,26068037,1209.1
92250000,86831057,25,2722aa05bea228d7,26138753,1212.8
92500000,87066648,25,35a801bb03f2b8a2,26209673,1216.4
92750000,87301674,25,e1eaba9111005699,26280423,1219.9
93000000,87537204,25,c45adfb8d56142ef,26351324,1223.4
93250000,87772745,25,6b452ae373805be5,26422230,1227.0
93500000,88007759,25,a74f55252ea24733,26492976,1230.5
93750000,88243070,25,5587dfeaa4ea56dd,26563811,1234.1
94000000,88478109,25,080e620c62366991,26634565,1237.7
94250000,88713390,25,acc33609082a1e09,26705392,1241.4
94500000,88948725,25,88a5947862a4c972,26776235,1245.4
94750000,89184041,25,9915a829cb57a72d,26847072,1249.1
95000000,89419646,25,6616dcbe735a2ce8,26917996,1253.1
95250000,89654969,25,7b60465647e06ea2,26988835,1257.0
95500000,89890333,25,c2d8c15030fcad2e,27059687,1260.8
95750000,90125734,25,ffbf423f1f41f8de,27130550,1264.4
96000000,90361207,25,a2367e130cf0312e,27201434,1268.0
96250000,90596684,25,cfe459f9b78d29f8,27272320,1271.3
96500000,90831744,25,f4ba02f1ca285b51,27343080,1274.8
96750000,91067187,25,d6db358893e55432,27413955,1278.1
97000000,91302689,25,37d3ed8d79543896,27484848,1281.4
97250000,91537686,25,d8fe1832cf7853e7,27555589,1284.7
97500000,91772716,25,86e8dbae09579221,27626341,1287.9
97750000,92008031,25,9478c8f531f2646a,27697178,1291.2
98000000,92242892,25,8e1d59b0e3e6a687,27767878,1294.6
98250000,92478155,25,cdf31012e171051a,27838699,1297.8
98500000,92713471,25,6963e2177a9bba0c,27909536,1301.1
98750000,92948849,25,a92bdf77f5b21f5d,27980392,1304.4
99000000,93184252,25,b5eba9345522a125,28051255,1307.9
99250000,93419144,25,d9b21c45d03a003e,28121965,1311.2
99500000,93654351,25,4752e083a363ef13,28192769,1314.5
99750000,93889795,25,8cc708ab5936b250,28263645,1317.8
100000000,94125050,25,fd4332e892cc1fab,28334464,1321.0
